rank,_row_id,Unnamed: 0,conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,source_file,overlap,idle_time
1,2959,2959,2,0.0,0.0,0.0,29.0,17.0,244.0,309.0,914.0,3366.0,1263.0,768.0,17.00611620795107,37973.0,206.0,4.0,21.0,16.969835460186005,43.34906309843063,9.606634974479675,2.453523874282837,4.8211318254470825,1888.813555240631,35.91987192630768,40.28683006763458,209.30294543504715,3.0797414779663086,0.146077424287796,0.7370836138725281,,,
2,3989,3989,0,0.0,0.0,0.0,42.0,24.0,214.0,456.0,1030.0,3172.0,1282.0,798.0,17.478960244648317,48827.0,269.0,1.0,23.0,84.89983916282654,45.34620642662048,3.961613178253174,0.7580742985010147,3.0996906757354736,1830.038547515869,62.29179501533508,17.88090616464615,277.25438475608826,3.791001319885254,0.1432322710752487,0.1158284246921539,,,
3,838,838,2,0.0,0.0,2.0,29.0,11.0,268.0,502.0,749.0,2980.0,1261.0,759.0,17.271987767584097,45138.0,206.0,4.0,21.0,95.27405500411987,8.183446153998375,7.2715842723846436,2.019982784986496,9.656859636306764,1938.63707780838,2.970185875892639,13.369359076023102,214.9564266204834,3.1905648708343506,0.5667744278907776,0.4541428089141845,,,
4,4388,4388,2,0.0,0.0,2.0,29.0,15.0,228.0,347.0,832.0,3097.0,1241.0,838.0,17.20978593272171,38569.0,206.0,4.0,21.0,80.66408395767212,37.22757548093796,4.329720437526703,0.154597582295537,7.749148011207581,1448.504000902176,76.11089944839478,41.52531027793884,220.69499790668488,2.59873628616333,0.3957437872886657,0.5138634443283081,,,
5,1527,1527,0,0.0,0.0,1.0,31.0,23.0,238.0,442.0,1034.0,3021.0,1080.0,800.0,17.13651376146789,54557.0,266.0,2.0,23.0,98.79329562187196,20.210742950439453,2.10916131734848,7.001062035560608,4.928966462612152,1413.5728478431702,9.756042808294296,50.116825103759766,213.70245665311813,3.180624723434448,0.2577855587005615,0.593788743019104,,,
6,3870,3870,2,0.0,0.0,1.0,34.0,21.0,289.0,686.0,713.0,3545.0,1215.0,824.0,16.412721712538225,33457.0,202.0,6.0,21.0,76.82678163051605,12.678980678319933,3.7431490421295166,2.968723475933075,6.436536908149719,1579.977035522461,71.55454158782959,81.91667199134827,284.98069643974304,3.796654939651489,0.1560356020927429,0.7175151109695435,,,
7,3963,3963,2,0.0,0.0,1.0,33.0,14.0,261.0,259.0,943.0,3073.0,840.0,768.0,16.67577981651376,45023.0,206.0,4.0,21.0,55.33300697803497,14.247186481952667,9.058439135551453,8.938453197479248,3.0709445476531982,1973.6174941062927,51.62643194198608,78.32974195480347,234.3824148178101,3.1859781742095947,0.1693008542060852,0.8970595002174377,,,
8,4254,4254,0,0.0,0.0,1.0,33.0,23.0,219.0,336.0,1248.0,3240.0,1309.0,918.0,17.107339449541286,46356.0,266.0,2.0,23.0,53.73616188764572,15.264567136764526,4.401229918003082,3.379351794719696,3.780733942985535,1048.35394769907,82.38657116889954,39.511364698410034,250.0441253185272,3.1730434894561768,0.2770386338233948,0.338287353515625,,,
9,2497,2497,2,0.0,0.0,1.0,28.0,31.0,251.0,283.0,935.0,3260.0,1288.0,873.0,17.630152905198777,44564.0,206.0,4.0,21.0,11.137590389698744,39.74829137325287,2.5952517986297607,5.224020481109619,6.379523277282715,1398.1099426746368,87.09722757339478,75.07611513137817,226.61249041557312,3.4225857257843018,0.2402416169643402,0.5825170278549194,,,
10,116,116,0,0.0,0.0,1.0,39.0,29.0,289.0,487.0,1011.0,3289.0,1211.0,759.0,17.23131498470948,46778.0,221.0,1.0,23.0,95.1647925376892,18.033620715141296,0.2139218337833881,2.7364063262939453,8.743919730186462,1671.4991331100464,42.127808928489685,1.791532337665558,384.2940330505371,2.4275147914886475,0.449785441160202,0.6572216153144836,,,
11,263,263,2,0.0,0.0,1.0,46.0,26.0,300.0,538.0,927.0,3105.0,948.0,696.0,16.085443425076452,28352.0,206.0,4.0,21.0,68.88065159320831,43.98145020008087,8.273494243621826,3.8639035820961,3.7770146131515503,1248.2957243919373,19.355633854866028,98.69975447654724,215.98654836416245,1.6292845010757446,0.3010154068470001,0.8004254698753357,,,
